name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Japan,JPN,JPY,262,120,,4/1/03
Malaysia,MYS,MYR,5.04,3.8,,4/1/03
Mexico,MEX,MXN,23,10.53,,4/1/03
New Zealand,NZL,NZD,3.95,1.78,,4/1/03
Peru,PER,PEN,7.9,3.46,,4/1/03
Philippines,PHL,PHP,65,52.5,,4/1/03
Poland,POL,PLN,6.3,3.89,,4/1/03
Russia,RUS,RUB,41,31.1,,4/1/03
Singapore,SGP,SGD,3.3,1.78,,4/1/03
South Africa,ZAF,ZAR,13.95,7.56,,4/1/03
South Korea,KOR,KRW,3300,1220,,4/1/03
Sweden,SWE,SEK,30,8.34,,4/1/03
Switzerland,CHE,CHF,6.3,1.37,,4/1/03
Taiwan,TWN,TWD,70,34.8,,4/1/03
Thailand,THA,THB,59,42.7,,4/1/03
Turkey,TUR,TRY,3750000,1600500,,4/1/03
United States,USA,USD,2.71,1,,4/1/03
Venezuela,VEN,VEF,3700,1598,,4/1/03
Argentina,ARG,ARS,4.36,2.95,,5/1/04
Australia,AUS,AUD,3.25,1.43,,5/1/04
Brazil,BRA,BRL,5.4,3.18,,5/1/04
Britain,GBR,GBP,1.88,0.558659218,,5/1/04
Canada,CAN,CAD,3.19,1.37,,5/1/04
Chile,CHL,CLP,1400,641,,5/1/04
China,CHN,CNY,10.4,8.28,,5/1/04
Colombia,COL,COP,6500,2769.83,,5/1/04
Costa Rica,CRI,CRC,1130,433.55,,5/1/04
Czech Republic,CZE,CZK,56.42,26.5,,5/1/04
Denmark,DNK,DKK,27.75,6.22,,5/1/04
Egypt,EGY,EGP,10,6.19,,5/1/04
Euro area,EUZ,EUR,2.74,0.833333333,,5/1/04
Hong Kong,HKG,HKD,12,7.79,,5/1/04
Hungary,HUN,HUF,530,211,,5/1/04
Indonesia,IDN,IDR,16100,9120,,5/1/04
Japan,JPN,JPY,262,113,,5/1/04
Malaysia,MYS,MYR,5.04,3.8,,5/1/04
Mexico,MEX,MXN,24,11.6,,5/1/04
