name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Euro area,EUZ,EUR,3.380031071,0.78015291,,7/1/10
Hong Kong,HKG,HKD,14.8,7.7742,,7/1/10
Hungary,HUN,HUF,740,221.96915,,7/1/10
Indonesia,IDN,IDR,22780,9063,,7/1/10
Israel,ISR,ILS,14.9,3.8619,,7/1/10
Japan,JPN,JPY,320,87.18,,7/1/10
Malaysia,MYS,MYR,7.05,3.2135,,7/1/10
Mexico,MEX,MXN,32,12.782,,7/1/10
New Zealand,NZL,NZD,5,1.39275766,,7/1/10
Norway,NOR,NOK,45,6.24625,,7/1/10
Pakistan,PAK,PKR,210,85.525,,7/1/10
Peru,PER,PEN,10,2.8275,,7/1/10
Philippines,PHL,PHP,102,46.47,,7/1/10
Poland,POL,PLN,8.3,3.1969,,7/1/10
Russia,RUS,RUB,71,30.44325,,7/1/10
Saudi Arabia,SAU,SAR,10,3.75045,,7/1/10
Singapore,SGP,SGD,4.23,1.3742,,7/1/10
South Africa,ZAF,ZAR,18.45,7.5365,,7/1/10
South Korea,KOR,KRW,3400,1204.45,,7/1/10
Sri Lanka,LKA,LKR,210,112.775,,7/1/10
Sweden,SWE,SEK,48.4,7.37355,,7/1/10
Switzerland,CHE,CHF,6.5,1.05085,,7/1/10
Taiwan,TWN,TWD,75,32.1055,,7/1/10
Thailand,THA,THB,70,32.305,,7/1/10
Turkey,TUR,TRY,5.95,1.5293,,7/1/10
UAE,ARE,AED,11,3.67285,,7/1/10
Ukraine,UKR,UAH,14.5,7.899,,7/1/10
United States,USA,USD,3.733333333,1,,7/1/10
Uruguay,URY,UYU,79,21.1,,7/1/10
Argentina,ARG,ARS,20,4.1325,9138.177,7/1/11
Australia,AUS,AUD,4.56,0.922381589,55589.549,7/1/11
Austria,AUT,EUR,3.09,0.697520315,44986.583,7/1/11
Belgium,BEL,EUR,3.75,0.697520315,42630.113,7/1/11
Brazil,BRA,BRL,9.5,1.5416,10816.487,7/1/11
Britain,GBR,GBP,2.39,0.614137444,36119.846,7/1/11
Canada,CAN,CAD,4.73,0.94585,46214.914,7/1/11
Chile,CHL,CLP,1850,462.75,11827.958,7/1/11
China,CHN,CNY,14.65,6.445,4382.136,7/1/11
Colombia,COL,COP,8400,1770.5,6273.372,7/1/11
Costa Rica,CRI,CRC,2050,504.305,,7/1/11
Czech Republic,CZE,CZK,69.32,17.0219,18288.284,7/1/11
Denmark,DNK,DKK,28.5,5.19845,56147.143,7/1/11
Egypt,EGY,EGP,14.09,5.962,2788.829,7/1/11
Estonia,EST,EUR,2.2,0.697520315,14835.96,7/1/11
Euro area,EUZ,EUR,3.437660401,0.697520315,36947,7/1/11
Finland,FIN,EUR,3.75,0.697520315,44488.643,7/1/11
France,FRA,EUR,3.5,0.697520315,41018.597,7/1/11
Germany,DEU,EUR,3.4,0.697520315,40631.243,7/1/11
Greece,GRC,EUR,3.26,0.697520315,27301.544,7/1/11
Hong Kong,HKG,HKD,15.1,7.7918,31590.681,7/1/11
Hungary,HUN,HUF,760,188.0724,12879.296,7/1/11
India,IND,INR,84,44.4,1264.839,7/1/11
Indonesia,IDN,IDR,22534,8523,3015.374,7/1/11
Ireland,IRL,EUR,3.8,0.697520315,45688.759,7/1/11
Israel,ISR,ILS,15.9,3.40335,28685.616,7/1/11
Italy,ITA,EUR,3.5,0.697520315,34058.72,7/1/11
Japan,JPN,JPY,320,78.365,42820.392,7/1/11
Malaysia,MYS,MYR,7.2,2.973,8423.176,7/1/11
Mexico,MEX,MXN,32,11.67075,9565.962,7/1/11
Netherlands,NLD,EUR,3.25,0.697520315,47172.14,7/1/11
New Zealand,NZL,NZD,5.1,1.156069364,32145.233,7/1/11
Norway,NOR,NOK,45,5.41405,84443.634,7/1/11
Pakistan,PAK,PKR,205.13,86.345,1049.749,7/1/11
Peru,PER,PEN,10,2.7375,5171.651,7/1/11
Philippines,PHL,PHP,118,42.41,2007.362,7/1/11
Poland,POL,PLN,8.63,2.7968,12300.126,7/1/11
Portugal,PRT,EUR,2.9,0.697520315,21558.78,7/1/11
Russia,RUS,RUB,75,27.7525,10437.49,7/1/11
Saudi Arabia,SAU,SAR,10,3.7502,16995.78,7/1/11
Singapore,SGP,SGD,4.41,1.20705,43116.689,7/1/11
South Africa,ZAF,ZAR,19.45,6.76885,7157.801,7/1/11
South Korea,KOR,KRW,3700,1056.2,20590.962,7/1/11
Spain,ESP,EUR,3.5,0.697520315,30639.295,7/1/11
Sri Lanka,LKA,LKR,280,109.475,,7/1/11
Sweden,SWE,SEK,48.4,6.3352,48874.608,7/1/11
Switzerland,CHE,CHF,6.5,0.80615,67245.997,7/1/11
Taiwan,TWN,TWD,75,28.834,18457.752,7/1/11
Thailand,THA,THB,70,29.75,4991.525,7/1/11
Turkey,TUR,TRY,6.5,1.72285,10398.685,7/1/11
UAE,ARE,AED,12,3.67305,,7/1/11
Ukraine,UKR,UAH,16.5,7.994,,7/1/11
United States,USA,USD,4.065,1,47283.633,7/1/11
Uruguay,URY,UYU,90,18.45,,7/1/11
Venezuela,VEN,VEF,28,4.29465,,7/1/11
Argentina,ARG,ARS,20,4.3135,9138.177,1/1/12
Australia,AUS,AUD,4.8,0.972337012,55589.549,1/1/12
Austria,AUT,EUR,3.09,0.788239467,44986.583,1/1/12
Belgium,BEL,EUR,3.7,0.788239467,42630.113,1/1/12
Brazil,BRA,BRL,10.25,1.805,10816.487,1/1/12
Britain,GBR,GBP,2.49,0.651253663,36119.846,1/1/12
Canada,CAN,CAD,4.73,1.02095,46214.914,1/1/12
Chile,CHL,CLP,2050,506.05,11827.958,1/1/12
China,CHN,CNY,15.4,6.3155,4382.136,1/1/12
Colombia,COL,COP,8400,1852.15,6273.372,1/1/12
Costa Rica,CRI,CRC,2050,509.54,,1/1/12
Czech Republic,CZE,CZK,70.22,20.36535,18288.284,1/1/12
Denmark,DNK,DKK,31.5,5.86135,56147.143,1/1/12
Egypt,EGY,EGP,15.5,6.037,2788.829,1/1/12
Estonia,EST,EUR,2.04,0.788239467,14835.96,1/1/12
Euro area,EUZ,EUR,3.49245637,0.788239467,36947,1/1/12
Finland,FIN,EUR,3.75,0.788239467,44488.643,1/1/12
France,FRA,EUR,3.6,0.788239467,41018.597,1/1/12
Germany,DEU,EUR,3.53,0.788239467,40631.243,1/1/12
Greece,GRC,EUR,3.3,0.788239467,27301.544,1/1/12
Hong Kong,HKG,HKD,16.5,7.76735,31590.681,1/1/12
Hungary,HUN,HUF,645,245.69425,12879.296,1/1/12
India,IND,INR,84,51.905,1264.839,1/1/12
Indonesia,IDN,IDR,22534,9160,3015.374,1/1/12
Ireland,IRL,EUR,3.8,0.788239467,45688.759,1/1/12
Israel,ISR,ILS,15.9,3.8485,28685.616,1/1/12
Italy,ITA,EUR,3.5,0.788239467,34058.72,1/1/12
Japan,JPN,JPY,320,76.92,42820.392,1/1/12
Malaysia,MYS,MYR,7.35,3.13955,8423.176,1/1/12
Mexico,MEX,MXN,37,13.6844,9565.962,1/1/12
Netherlands,NLD,EUR,3.25,0.788239467,47172.14,1/1/12
New Zealand,NZL,NZD,5.1,1.26000126,32145.233,1/1/12
Norway,NOR,NOK,41,6.0399,84443.634,1/1/12
Pakistan,PAK,PKR,260,90.05,1049.749,1/1/12
Peru,PER,PEN,10,2.6925,5171.651,1/1/12
Philippines,PHL,PHP,118,44.005,2007.362,1/1/12
Poland,POL,PLN,9.1,3.52045,12300.126,1/1/12
Portugal,PRT,EUR,2.9,0.788239467,21558.78,1/1/12
Russia,RUS,RUB,81,31.7693,10437.49,1/1/12
Saudi Arabia,SAU,SAR,10,3.7502,16995.78,1/1/12
Singapore,SGP,SGD,4.85,1.2928,43116.689,1/1/12
South Africa,ZAF,ZAR,19.95,8.1304,7157.801,1/1/12
South Korea,KOR,KRW,3700,1158.75,20590.962,1/1/12
Spain,ESP,EUR,3.5,0.788239467,30639.295,1/1/12
Sri Lanka,LKA,LKR,290,113.93,,1/1/12
Sweden,SWE,SEK,41,6.9338,48874.608,1/1/12
Switzerland,CHE,CHF,6.5,0.9551,67245.997,1/1/12
Taiwan,TWN,TWD,75,29.9795,18457.752,1/1/12
Thailand,THA,THB,78,31.75,4991.525,1/1/12
Turkey,TUR,TRY,6.6,1.86295,10398.685,1/1/12
UAE,ARE,AED,12,3.673,,1/1/12
Ukraine,UKR,UAH,17,8.0405,,1/1/12
United States,USA,USD,4.19722,1,47283.633,1/1/12
Uruguay,URY,UYU,90,19.45,,1/1/12
Venezuela,VEN,VEF,30,4.29465,,1/1/12
Argentina,ARG,ARS,19,4.56625,9138.177,7/1/12
Australia,AUS,AUD,4.56,0.974326497,55589.549,7/1/12
Austria,AUT,EUR,3.19,0.824844311,44986.583,7/1/12
Belgium,BEL,EUR,3.8,0.824844311,42630.113,7/1/12
Brazil,BRA,BRL,10.08,2.04215,10816.487,7/1/12
Britain,GBR,GBP,2.69,0.646266197,36119.846,7/1/12
Canada,CAN,CAD,5.12,1.01945,46214.914,7/1/12
Chile,CHL,CLP,2050,493.05,11827.958,7/1/12
China,CHN,CNY,15.65,6.3885,4382.136,7/1/12
Colombia,COL,COP,8600,1804.475,6273.372,7/1/12
Czech Republic,CZE,CZK,70.33,21.048,18288.284,7/1/12
Denmark,DNK,DKK,28.5,6.1356,56147.143,7/1/12
Egypt,EGY,EGP,16,6.0665,2788.829,7/1/12
Estonia,EST,EUR,2.04,0.824844311,14835.96,7/1/12
Euro area,EUZ,EUR,3.583482241,0.824844311,36947,7/1/12
Finland,FIN,EUR,3.75,0.824844311,44488.643,7/1/12
France,FRA,EUR,3.6,0.824844311,41018.597,7/1/12
Germany,DEU,EUR,3.64,0.824844311,40631.243,7/1/12
Greece,GRC,EUR,2.683,0.824844311,27301.544,7/1/12
Hong Kong,HKG,HKD,16.5,7.75815,31590.681,7/1/12
Hungary,HUN,HUF,830,238.2151,12879.296,7/1/12
India,IND,INR,89,56.165,1264.839,7/1/12
Indonesia,IDN,IDR,24200,9482.5,3015.374,7/1/12
Ireland,IRL,EUR,3.49,0.824844311,45688.759,7/1/12
Israel,ISR,ILS,11.9,4.07625,28685.616,7/1/12
Italy,ITA,EUR,3.6,0.824844311,34058.72,7/1/12
Japan,JPN,JPY,320,78.22,42820.392,7/1/12
Malaysia,MYS,MYR,7.4,3.1735,8423.176,7/1/12
Mexico,MEX,MXN,37,13.687,9565.962,7/1/12
Netherlands,NLD,EUR,3.38,0.824844311,47172.14,7/1/12
New Zealand,NZL,NZD,5.1,1.273560876,32145.233,7/1/12
Norway,NOR,NOK,43,6.09205,84443.634,7/1/12
Pakistan,PAK,PKR,285,94.605,1049.749,7/1/12
Philippines,PHL,PHP,118,42.2,2007.362,7/1/12
Poland,POL,PLN,9.1,3.46035,12300.126,7/1/12
Portugal,PRT,EUR,4.95,0.824844311,21558.78,7/1/12
Russia,RUS,RUB,75,32.76525,10437.49,7/1/12
Saudi Arabia,SAU,SAR,10,3.75025,16995.78,7/1/12
Singapore,SGP,SGD,4.4,1.2585,43116.689,7/1/12
South Africa,ZAF,ZAR,19.95,8.4683,7157.801,7/1/12
South Korea,KOR,KRW,3700,1151,20590.962,7/1/12
Spain,ESP,EUR,3.5,0.824844311,30639.295,7/1/12
Sri Lanka,LKA,LKR,290,131,,7/1/12
Sweden,SWE,SEK,39.97301987,6.9777,48874.608,7/1/12
Switzerland,CHE,CHF,6.5,0.9906,67245.997,7/1/12
Taiwan,TWN,TWD,75,30.1955,18457.752,7/1/12
Thailand,THA,THB,82,31.7,4991.525,7/1/12
Turkey,TUR,TRY,8.25,1.8269,10398.685,7/1/12
UAE,ARE,AED,12,3.67295,,7/1/12
Ukraine,UKR,UAH,15,8.0855,,7/1/12
United States,USA,USD,4.3275,1,47283.633,7/1/12
Uruguay,URY,UYU,99,21.87,,7/1/12
Venezuela,VEN,VEF,34,4.29465,,7/1/12
Argentina,ARG,ARS,19,4.9765,10959.082,1/1/13
Australia,AUS,AUD,4.7,0.959094615,66371.218,1/1/13
Austria,AUT,EUR,3.39,0.736946829,49687.509,1/1/13
Belgium,BEL,EUR,3.8,0.736946829,46989.381,1/1/13
Brazil,BRA,BRL,11.25,1.99335,12788.551,1/1/13
Britain,GBR,GBP,2.69,0.633211968,38811.424,1/1/13
Canada,CAN,CAD,5.41,1.0029,50496.043,1/1/13
Chile,CHL,CLP,2050,471.75,14403.111,1/1/13
China,CHN,CNY,16,6.2204,5416.668,1/1/13
Colombia,COL,COP,8600,1773.175,7114.33,1/1/13
Costa Rica,CRI,CRC,2200,500.83,,1/1/13
Czech Republic,CZE,CZK,70.33,18.89495,20435.875,1/1/13
Denmark,DNK,DKK,28.5,5.49795,59708.962,1/1/13
Egypt,EGY,EGP,16,6.68575,2931.827,1/1/13
Estonia,EST,EUR,2.7,0.736946829,16568.203,1/1/13
Euro area,EUZ,EUR,3.594849572,0.736946829,40137.01059,1/1/13
Finland,FIN,EUR,3.75,0.736946829,48782.645,1/1/13
France,FRA,EUR,3.6,0.736946829,44007.331,1/1/13
Germany,DEU,EUR,3.64,0.736946829,44110.989,1/1/13
Greece,GRC,EUR,3.3,0.736946829,26734.876,1/1/13
Hong Kong,HKG,HKD,17,7.7591,34259.337,1/1/13
Hungary,HUN,HUF,830,217.46935,14050.009,1/1/13
India,IND,INR,89,53.395,1513.618,1/1/13
Indonesia,IDN,IDR,27939,9767.5,3511.799,1/1/13
Ireland,IRL,EUR,3.49,0.736946829,48288.731,1/1/13
Israel,ISR,ILS,14.9,3.72455,32350.817,1/1/13
Italy,ITA,EUR,3.85,0.736946829,36266.876,1/1/13
Japan,JPN,JPY,320,91.065,45869.72,1/1/13
Malaysia,MYS,MYR,7.95,3.083,10084.608,1/1/13
Mexico,MEX,MXN,37,12.7384,10146.041,1/1/13
Netherlands,NLD,EUR,3.45,0.736946829,50216.422,1/1/13
New Zealand,NZL,NZD,5.2,1.202428906,35973.02,1/1/13
Norway,NOR,NOK,43,5.4831,97607.32,1/1/13
Pakistan,PAK,PKR,290,97.665,1199.111,1/1/13
Peru,PER,PEN,10,2.5595,5904.494,1/1/13
Philippines,PHL,PHP,118,40.6,2344.889,1/1/13
Poland,POL,PLN,9.1,3.092,13468.655,1/1/13
Portugal,PRT,EUR,2.95,0.736946829,22358.894,1/1/13
Russia,RUS,RUB,72.88,30.045,12993.358,1/1/13
Saudi Arabia,SAU,SAR,11,3.7502,21196.287,1/1/13
Singapore,SGP,SGD,4.5,1.23485,49270.872,1/1/13
South Africa,ZAF,ZAR,20.9,9.047,8078.451,1/1/13
South Korea,KOR,KRW,3700,1085.475,22424.062,1/1/13
Spain,ESP,EUR,3.5,0.736946829,32077.084,1/1/13
Sri Lanka,LKA,LKR,350,126.45,,1/1/13
Sweden,SWE,SEK,40.55930138,6.3492,57638.234,1/1/13
Switzerland,CHE,CHF,6.5,0.9123,83072.845,1/1/13
Taiwan,TWN,TWD,75,29.502,20082.918,1/1/13
Thailand,THA,THB,87,29.755,5394.714,1/1/13
Turkey,TUR,TRY,8.45,1.76875,10362.609,1/1/13
UAE,ARE,AED,12,3.67305,,1/1/13
Ukraine,UKR,UAH,19,8.144,,1/1/13
United States,USA,USD,4.367395833,1,48327.861,1/1/13
Uruguay,URY,UYU,105,19.28,,1/1/13
Venezuela,VEN,VEF,39,4.29465,,1/1/13
Argentina,ARG,ARS,21,5.4125,10959.082,7/1/13
Australia,AUS,AUD,5.035,1.089858863,66371.218,7/1/13
Austria,AUT,EUR,3.39,0.777756173,49687.509,7/1/13
Belgium,BEL,EUR,3.7,0.777756173,46989.381,7/1/13
Brazil,BRA,BRL,12,2.27065,12788.551,7/1/13
Britain,GBR,GBP,2.69,0.669142494,38811.424,7/1/13
Canada,CAN,CAD,5.53,1.05125,50496.043,7/1/13
Chile,CHL,CLP,2000,508.155,14403.111,7/1/13
China,CHN,CNY,16,6.1341,5416.668,7/1/13
Colombia,COL,COP,8600,1921,7114.33,7/1/13
Costa Rica,CRI,CRC,2150,498.675,,7/1/13
Czech Republic,CZE,CZK,70.45,20.1828,20435.875,7/1/13
Denmark,DNK,DKK,28.5,5.8006,59708.962,7/1/13
Egypt,EGY,EGP,16.75,7.00915,2931.827,7/1/13
Estonia,EST,EUR,2.75,0.777756173,16568.203,7/1/13
Euro area,EUZ,EUR,3.623870489,0.777756173,40137.01059,7/1/13
Finland,FIN,EUR,4.1,0.777756173,48782.645,7/1/13
France,FRA,EUR,3.9,0.777756173,44007.331,7/1/13
Germany,DEU,EUR,3.64,0.777756173,44110.989,7/1/13
Greece,GRC,EUR,2.6,0.777756173,26734.876,7/1/13
Hong Kong,HKG,HKD,17,7.75665,34259.337,7/1/13
Hungary,HUN,HUF,860,228.462,14050.009,7/1/13
India,IND,INR,90,59.98,1513.618,7/1/13
Indonesia,IDN,IDR,27939,9965,3511.799,7/1/13
Ireland,IRL,EUR,3.46,0.777756173,48288.731,7/1/13
Israel,ISR,ILS,17.5,3.64595,32350.817,7/1/13
Italy,ITA,EUR,3.75,0.777756173,36266.876,7/1/13
Japan,JPN,JPY,320,100.105,45869.72,7/1/13
Malaysia,MYS,MYR,7.3,3.1805,10084.608,7/1/13
Mexico,MEX,MXN,37,12.94115,10146.041,7/1/13
Netherlands,NLD,EUR,3.45,0.777756173,50216.422,7/1/13
New Zealand,NZL,NZD,5.5,1.279344975,35973.02,7/1/13
Norway,NOR,NOK,46,6.1281,97607.32,7/1/13
Pakistan,PAK,PKR,300,100.035,1199.111,7/1/13
Peru,PER,PEN,10,2.783,5904.494,7/1/13
Philippines,PHL,PHP,115.21,43.44,2344.889,7/1/13
Poland,POL,PLN,9.2,3.3655,13468.655,7/1/13
Portugal,PRT,EUR,2.95,0.777756173,22358.894,7/1/13
Russia,RUS,RUB,87,32.9389,12993.358,7/1/13
Saudi Arabia,SAU,SAR,10,3.7502,21196.287,7/1/13
Singapore,SGP,SGD,4.7,1.2747,49270.872,7/1/13
South Africa,ZAF,ZAR,22.5,10.04725,8078.451,7/1/13
South Korea,KOR,KRW,3900,1135.7,22424.062,7/1/13
Spain,ESP,EUR,3.5,0.777756173,32077.084,7/1/13
Sri Lanka,LKA,LKR,370,130.8,,7/1/13
Sweden,SWE,SEK,41.61,6.7583,57638.234,7/1/13
Switzerland,CHE,CHF,6.5,0.9674,83072.845,7/1/13
Taiwan,TWN,TWD,79,30.0285,20082.918,7/1/13
Thailand,THA,THB,89,31.275,5394.714,7/1/13
Turkey,TUR,TRY,8.5,1.95745,10362.609,7/1/13
UAE,ARE,AED,12,3.673,,7/1/13
Ukraine,UKR,UAH,19,8.155,,7/1/13
United States,USA,USD,4.556666667,1,48327.861,7/1/13
Uruguay,URY,UYU,105,21.085,,7/1/13
Venezuela,VEN,VEF,45,6.2921,,7/1/13
Argentina,ARG,ARS,21,6.92125,10959.082,1/1/14
Australia,AUS,AUD,5.05,1.128859288,66371.218,1/1/14
Austria,AUT,EUR,3.39,0.737218475,49687.509,1/1/14
Belgium,BEL,EUR,3.95,0.737218475,46989.381,1/1/14
Brazil,BRA,BRL,12.4,2.36305,12788.551,1/1/14
Britain,GBR,GBP,2.79,0.603009015,38811.424,1/1/14
Canada,CAN,CAD,5.54,1.1051,50496.043,1/1/14
Chile,CHL,CLP,2000,541.95,14403.111,1/1/14
China,CHN,CNY,16.6,6.0513,5416.668,1/1/14
Colombia,COL,COP,8600,1982.795,7114.33,1/1/14
Costa Rica,CRI,CRC,2150,501.92,,1/1/14
Czech Republic,CZE,CZK,70.45,20.2838,20435.875,1/1/14
Denmark,DNK,DKK,28.5,5.5014,59708.962,1/1/14
Egypt,EGY,EGP,16.93,6.961,2931.827,1/1/14
Estonia,EST,EUR,2.8,0.737218475,16568.203,1/1/14
Euro area,EUZ,EUR,3.657962724,0.737218475,40137.01059,1/1/14
Finland,FIN,EUR,4.1,0.737218475,48782.645,1/1/14
France,FRA,EUR,3.8,0.737218475,44007.331,1/1/14
Germany,DEU,EUR,3.67,0.737218475,44110.989,1/1/14
Greece,GRC,EUR,3.05,0.737218475,26734.876,1/1/14
Hong Kong,HKG,HKD,18,7.75785,34259.337,1/1/14
Hungary,HUN,HUF,860,223.09705,14050.009,1/1/14
India,IND,INR,95,61.845,1513.618,1/1/14
Indonesia,IDN,IDR,27939,12140,3511.799,1/1/14
Ireland,IRL,EUR,3.46,0.737218475,48288.731,1/1/14
Israel,ISR,ILS,17.5,3.4882,32350.817,1/1/14
Italy,ITA,EUR,3.85,0.737218475,36266.876,1/1/14
Japan,JPN,JPY,310,104.245,45869.72,1/1/14
Lithuania,LTU,EUR,8.8,2.5454,,1/1/14
Malaysia,MYS,MYR,7.4,3.3235,10084.608,1/1/14
Mexico,MEX,MXN,37,13.33275,10146.041,1/1/14
Netherlands,NLD,EUR,3.45,0.737218475,50216.422,1/1/14
New Zealand,NZL,NZD,5.5,1.203007519,35973.02,1/1/14
Norway,NOR,NOK,48,6.15745,97607.32,1/1/14
Pakistan,PAK,PKR,320,105.415,1199.111,1/1/14
Peru,PER,PEN,10,2.8065,5904.494,1/1/14
Philippines,PHL,PHP,135,45.23,2344.889,1/1/14
Poland,POL,PLN,9.2,3.0684,13468.655,1/1/14
Portugal,PRT,EUR,3,0.737218475,22358.894,1/1/14
Russia,RUS,RUB,89,33.93925,12993.358,1/1/14
Saudi Arabia,SAU,SAR,11,3.7504,21196.287,1/1/14
Singapore,SGP,SGD,4.6,1.27885,49270.872,1/1/14
South Africa,ZAF,ZAR,23.5,10.87765,8078.451,1/1/14
South Korea,KOR,KRW,3700,1067.3,22424.062,1/1/14
Spain,ESP,EUR,3.65,0.737218475,32077.084,1/1/14
Sri Lanka,LKA,LKR,350,130.8,,1/1/14
Sweden,SWE,SEK,40.7,6.47315,57638.234,1/1/14
Switzerland,CHE,CHF,6.5,0.91005,83072.845,1/1/14
Taiwan,TWN,TWD,79,30.161,20082.918,1/1/14
Thailand,THA,THB,96,32.875,5394.714,1/1/14
Turkey,TUR,TRY,8.5,2.26155,10362.609,1/1/14
UAE,ARE,AED,12,3.673,,1/1/14
Ukraine,UKR,UAH,19,8.379,,1/1/14
United States,USA,USD,4.624166667,1,48327.861,1/1/14
Uruguay,URY,UYU,105,21.38,,1/1/14
Venezuela,VEN,VEF,45,6.2921,,1/1/14
Argentina,ARG,ARS,21,8.16875,11582.48,7/1/14
Australia,AUS,AUD,5.1,1.059378145,67855.88,7/1/14
Austria,AUT,EUR,3.39,0.742748914,46620.235,7/1/14
Belgium,BEL,EUR,3.7,0.742748914,43553.781,7/1/14
Brazil,BRA,BRL,13,2.22025,11437.393,7/1/14
Britain,GBR,GBP,2.89,0.586785589,38999.208,7/1/14
Canada,CAN,CAD,5.64,1.07405,52488.725,7/1/14
Chile,CHL,CLP,2100,564.14,15300.352,7/1/14
China,CHN,CNY,16.9,6.1983,6077.65,7/1/14
Colombia,COL,COP,8600,1847.65,7935.716,7/1/14
Costa Rica,CRI,CRC,2150,537.3,,7/1/14
Czech Republic,CZE,CZK,70.45,20.3877,18699.467,7/1/14
Denmark,DNK,DKK,28.5,5.5388,56475.85,7/1/14
Egypt,EGY,EGP,16.93,7.15005,3178.951,7/1/14
Estonia,EST,EUR,2.9,0.742748914,17295.228,7/1/14
Euro area,EUZ,EUR,3.67923829,0.742748914,36888.30379,7/1/14
Finland,FIN,EUR,4.1,0.742748914,45567.519,7/1/14
France,FRA,EUR,3.9,0.742748914,41223.213,7/1/14
Germany,DEU,EUR,3.67,0.742748914,42569.471,7/1/14
Greece,GRC,EUR,3.05,0.742748914,22346.584,7/1/14
Hong Kong,HKG,HKD,18.8,7.75045,36590.443,7/1/14
Hungary,HUN,HUF,860,228.30615,12543.959,7/1/14
India,IND,INR,105,60.08875,1514.634,7/1/14
Indonesia,IDN,IDR,27939,11505,3590.662,7/1/14
Ireland,IRL,EUR,3.49,0.742748914,45961.959,7/1/14
Israel,ISR,ILS,17.5,3.4138,33450.928,7/1/14
Italy,ITA,EUR,3.85,0.742748914,33915.461,7/1/14
Japan,JPN,JPY,370,101.53,46530.384,7/1/14
Lithuania,LTU,EUR,8.95,2.56455,,7/1/14
Malaysia,MYS,MYR,7.63,3.1675,10387.16,7/1/14
Mexico,MEX,MXN,42,12.93255,10110.686,7/1/14
Netherlands,NLD,EUR,3.45,0.742748914,45988.604,7/1/14
New Zealand,NZL,NZD,5.7,1.152737752,38384.906,7/1/14
Norway,NOR,NOK,48,6.1873,99249.004,7/1/14
Pakistan,PAK,PKR,300,98.68,1260.736,7/1/14
Peru,PER,PEN,10,2.788,6549.636,7/1/14
Philippines,PHL,PHP,160,43.205,2611.503,7/1/14
Poland,POL,PLN,9.2,3.0714,12708.962,7/1/14
Portugal,PRT,EUR,3,0.742748914,20019.902,7/1/14
Russia,RUS,RUB,89,34.83725,14015.75,7/1/14
Saudi Arabia,SAU,SAR,11,3.75035,25139.004,7/1/14
Singapore,SGP,SGD,4.7,1.238,53516.039,7/1/14
South Africa,ZAF,ZAR,24.5,10.5145,7314.014,7/1/14
South Korea,KOR,KRW,4100,1023.75,22590.158,7/1/14
Spain,ESP,EUR,3.65,0.742748914,28294.112,7/1/14
Sri Lanka,LKA,LKR,350,130.255,,7/1/14
Sweden,SWE,SEK,40.7,6.836,54829.105,7/1/14
Switzerland,CHE,CHF,6.16,0.9024,79344.253,7/1/14
Taiwan,TWN,TWD,79,29.982,20386.475,7/1/14
Thailand,THA,THB,99,31.78,5390.414,7/1/14
Turkey,TUR,TRY,9.25,2.09125,10523.36,7/1/14
UAE,ARE,AED,13,3.67305,,7/1/14
Ukraine,UKR,UAH,19,11.685,,7/1/14
United States,USA,USD,4.795,1,51708.982,7/1/14
Uruguay,URY,UYU,113,22.97,,7/1/14
Venezuela,VEN,VEF,75,11,,7/1/14
Vietnam,VNM,VND,60000,21230,,7/1/14
Argentina,ARG,ARS,28,8.61,14708.613,1/1/15
Australia,AUS,AUD,5.3,1.227219734,64578.19,1/1/15
Austria,AUT,EUR,3.39,0.863073404,49038.959,1/1/15
Belgium,BEL,EUR,3.7,0.863073404,45537.619,1/1/15
Brazil,BRA,BRL,13.5,2.59275,11172.523,1/1/15
Britain,GBR,GBP,2.89,0.661594443,39371.653,1/1/15
Canada,CAN,CAD,5.7,1.22855,52037.148,1/1/15
Chile,CHL,CLP,2100,627.485,15775.713,1/1/15
China,CHN,CNY,17.2,6.2115,6958.686,1/1/15
Colombia,COL,COP,7900,2364.98,8030.715,1/1/15
Costa Rica,CRI,CRC,2150,536.09,,1/1/15
Czech Republic,CZE,CZK,70.45,24.13325,18871.009,1/1/15
Denmark,DNK,DKK,34.5,6.4174,59129.127,1/1/15
Egypt,EGY,EGP,16.93,7.35005,3242.857,1/1/15
Estonia,EST,EUR,2.9,0.863073404,18852.091,1/1/15
Euro area,EUZ,EUR,3.68,0.863073404,38643.6391,1/1/15
Finland,FIN,EUR,4.1,0.863073404,49055.031,1/1/15
France,FRA,EUR,3.9,0.863073404,44098.695,1/1/15
Germany,DEU,EUR,3.67,0.863073404,44999.496,1/1/15
Greece,GRC,EUR,3.05,0.863073404,21857.28,1/1/15
Hong Kong,HKG,HKD,18.8,7.75135,37955.448,1/1/15
Hungary,HUN,HUF,860,271.39345,13387.975,1/1/15
India,IND,INR,116.25,61.615,1509.495,1/1/15
Indonesia,IDN,IDR,27939,12480,3509.824,1/1/15
Ireland,IRL,EUR,3.49,0.863073404,48607.821,1/1/15
Israel,ISR,ILS,17.5,3.93415,36926.33,1/1/15
Italy,ITA,EUR,3.85,0.863073404,34714.703,1/1/15
Japan,JPN,JPY,370,117.765,38467.786,1/1/15
Malaysia,MYS,MYR,7.63,3.6155,10456.887,1/1/15
Mexico,MEX,MXN,49,14.6275,10649.907,1/1/15
Netherlands,NLD,EUR,3.45,0.863073404,50815.753,1/1/15
